ID,Name,Pos,tier,tierValue,recommendedDrawWeight,Positive,Negative,Neutral,years active,scout hint,extraHint1,extraHint2
,Doug Christie,SG,SOLID,3,0.35,Averaged 4.1 rebounds per game for his career.,Played only 23 games as a rookie.,"Born in Seattle, Washington.",1993-2007,Selected 17th overall in the 1992 draft.,Made 4 consecutive NBA All-Defensive teams.,Averaged 2.3 steals and made First Team All-Defense in 2002-03.
,Jeff Hornacek,SG,SOLID,3,0.35,Won consecutive Three-Point Contests.,Made only one All-Star team in 14 seasons.,Began his Iowa State career as a walk-on.,1986-2000,Was drafted 46th overall in 1986.,Iowa State later retired his No. 14.,Touched his face before free throws as a signal to his children.
,John Starks,SG,SOLID,3,0.35,Averaged 3.6 assists per game for his career.,Shot 41.2% from the field for his career.,Attended 3 different colleges.,"1988-1989, 1990-2002",Entered the NBA undrafted.,Became an All-Star and an All-Defensive selection with New York.,Shot 2-for-18 in Game 7 of the 1994 NBA Finals.
,Hersey Hawkins,SG,SOLID,3,0.35,Started 79 games as a rookie.,Averaged 2.9 assists per game for his career.,Played 983 regular-season games.,1988-2001,Selected 6th overall in the 1988 draft.,Made the 1991 NBA All-Star team.,Led the NCAA at 36.3 points per game and won National Player of the Year.
,Nick Anderson,SG,SOLID,3,0.35,Scored 50 points in an NBA game.,Shot 66.7% from the line for his career.,Was the first draft pick in Orlando Magic history.,1989-2002,Stripped Michael Jordan late in a 1995 playoff win.,Held Orlando's franchise scoring record for years.,Missed four straight free throws late in 1995 Finals Game 1.
,Kerry Kittles,SG,SOLID,3,0.35,Shot 37.8% from three for his career.,Played only 507 regular-season games.,Listed at 6-foot-5.,"1996-2000, 2001-2005",Selected 8th overall in the 1996 draft.,Started for Brooklyn's predecessor in back-to-back NBA Finals runs.,Finished college as Villanova's career leader in both points and steals.
,Ben Gordon,SG,SOLID,3,0.35,Shot 40.1% from three for his career.,Averaged 2.5 assists per game for his career.,"Born in London, England.",2004-2015,Selected 3rd overall in the 2004 draft.,Played all 82 games as a rookie while starting only 3.,Became the first rookie in NBA history to win Sixth Man of the Year.
,Jamal Crawford,SG,BENCH,2,0.3,"Played 1,327 NBA games.",Never made an NBA All-Star team.,Played only 17 college games.,2000-2020,"Cleveland drafted him eighth, then traded him immediately.",Made an NBA-record 55 four-point plays.,Became the oldest player ever to score 50.
,Lou Williams,SG,BENCH,2,0.3,"Played 1,123 NBA games.","Started about 120 of 1,123 NBA games.",Skipped college after winning national high-school Player of the Year.,2005-2022,Dropped to pick 45 after poor predraft workouts.,Led his team in scoring without starting a game.,Inspired Drake's song “6 Man.”
,Leandro Barbosa,SG,BENCH,2,0.3,Won NBA Sixth Man of the Year.,Averaged only 2.1 assists for his career.,Turned pro in Brazil at 17.,2003-2017,Went 28th without playing U.S. college basketball.,His speed earned the nickname “Brazilian Blur.”,Won NBA titles as both player and assistant coach.
,Dell Curry,SG,BENCH,2,0.3,Shot 40.2% from three across 16 seasons.,Never made an NBA All-Star team.,Was drafted in professional baseball twice.,1986-2002,Practiced his jumper inside his coach's barn.,Once pitched with Muggsy Bogues playing second base.,Both of his sons became longtime NBA guards.
,Vinnie Johnson,SG,BENCH,2,0.3,"Scored over 11,000 NBA points.",Shot 25.4% from three for his career.,Averaged 24.1 PPG at Baylor.,1979-1992,Danny Ainge nicknamed him for heating up instantly.,Hit a title-clinching jumper with 0.7 seconds left.,Built a major Detroit automotive business after retiring.
,Marco Belinelli,SG,BENCH,2,0.3,Played 860 NBA games.,Averaged only 2.9 PPG as a rookie.,Debuted in Italy's top league before turning 17.,2007-2020,Practiced with Manu Ginóbili at age 15.,Won the 2014 NBA Three-Point Contest.,Became the first Italian-born NBA champion.
,Nick Young,SG,BENCH,2,0.3,Played 720 NBA games.,Averaged exactly 1.0 assist per game.,One of his NBA relatives is Kevon Looney.,2007-2018,Invented his own famous nickname.,His confused reaction to his mother became a huge meme.,Another cousin is Kendrick Lamar.
,Gerald Green,SG,BENCH,2,0.3,Won an NBA Slam Dunk Contest.,Averaged only 0.9 assists per game.,Didn't reach varsity basketball until high school.,"2006-2008, 2012-2019",Lost part of a finger in a childhood basketball accident.,Blew out a candle on the rim during a dunk contest.,Won McDonald's and NBA dunk contests within two years.
,Iman Shumpert,SG,BENCH,2,0.3,Made All-Rookie and won an NBA championship.,Shot 39.1% from the field for his career.,Was middle-school teammates with Evan Turner.,2011-2021,Played all three perimeter positions in the NBA.,Later won a championship trophy in dancing.,Became the first NBA player to win Dancing with the Stars.
,Thabo Sefolosha,SG,BENCH,2,0.3,Made an NBA All-Defensive Team.,Averaged only 5.7 PPG across 14 seasons.,Speaks three languages and once played drums in a band.,2006-2020,His parents are a painter and professional musician.,A school counselor laughed at his NBA dream.,Became the first Swiss player in NBA history.
,Courtney Lee,SG,BENCH,2,0.3,Played 811 NBA games.,Averaged 9.6 PPG for his career.,Played all four college seasons at Western Kentucky.,2008-2020,Finished college tied for his school's scoring record.,Reached the NBA Finals as a rookie.,Missed a potential Finals winner with 0.6 seconds left.
,Alec Burks,SG,BENCH,2,0.3,Played 791 NBA games.,Started 158 of 791 NBA games.,Was lightly recruited and grew after committing.,2011-2025,Became Colorado's first Big 12 Freshman of the Year.,Missed only one game in his college career.,Went 12th overall after only two college seasons.
,Rodney Stuckey,SG,BENCH,2,0.3,Averaged 12.6 PPG across 651 NBA games.,Shot exactly 30.0% from three for his career.,Spent his first college year playing intramurals.,2007-2017,Won an intramural title before playing varsity college ball.,Became the Big Sky's first freshman league MVP.,Once scored 40 in an NBA game.
,Austin Rivers,SG,BENCH,2,0.3,Played 707 NBA games.,Shot only 65.3% from the line for his career.,Was named after an NBA player who wasn't his father.,2012-2023,Hit a buzzer-beating three in college basketball's biggest rivalry.,His buzzer-beater ended a 31-game home winning streak.,Became the first NBA player coached by his own father.
,DeShawn Stevenson,SG,BENCH,2,0.3,Played 824 NBA games and won a championship.,Shot 40.6% from the field for his career.,Committed to Kansas before jumping straight to the NBA.,2000-2013,His future college coach called him his most gifted recruit.,Had an Abraham Lincoln tattoo on his neck.,Kept a working ATM inside his kitchen.
,Shannon Brown,SG,BENCH,2,0.3,Won back-to-back NBA championships.,Averaged only 7.6 PPG across 408 games.,Was a top-three national high-school recruit.,2006-2014,Was reported to have a 44.5-inch vertical.,His younger brother also reached the NBA.,Had three D-League assignments before becoming a champion.
,Wayne Ellington,SG,BENCH,2,0.3,Played 770 NBA games.,Averaged only 8.0 PPG for his career.,Was a top-10 national high-school recruit.,2009-2022,Won Final Four Most Outstanding Player.,Shot 8-for-10 from three in the 2009 Final Four.,Was nicknamed “The Man with the Golden Arm.”
,Jodie Meeks,SG,BENCH,2,0.3,Shot 87.9% from the line for his NBA career.,Averaged only 9.3 PPG.,Was only the No. 57 high-school recruit.,2009-2019,Set Kentucky's single-game record with 54 points.,Had three regulation games of 45+ in one season.,Still fell to the 41st pick.
,Anthony Morrow,SG,BENCH,2,0.3,Shot 41.7% from three for his NBA career.,Averaged only 0.9 assists per game.,Went completely undrafted.,2008-2017,Dropped 37 points in his first NBA start.,Led the NBA in three-point percentage as a rookie.,Once scored 47 in a Summer League game.
,Tony Delk,SG,BENCH,2,0.3,Won an NCAA title and Final Four MOP.,Averaged only 9.1 PPG in the NBA.,Went 16th in the loaded 1996 draft.,1996-2006,Once scored 53 NBA points without making a three.,Had zero assists in his 53-point NBA game.,"Later won the EuroLeague, Greek League and Greek Cup."
,Ben McLemore,SG,BUST,1,0.15,Shot 42.0% from three in his lone Kansas season.,Averaged only 1.0 assist per NBA game.,Was a redshirt freshman when he starred at Kansas.,2013-2022,Sacramento drafted him 7th overall in 2013.,Banked in a late three to force overtime against Iowa State.,"Scored 36 points, a Kansas freshman record."
,Dion Waiters,SG,BUST,1,0.15,Recorded 11 assists in an NBA game.,Averaged 2.6 rebounds per game for his career.,"Born in Philadelphia, Pennsylvania.",2012-2020,Selected 4th overall in the 2012 draft.,Made the NBA All-Rookie First Team.,"Scored 33 in consecutive games, then hit a game-winning three against Golden State."
,O.J. Mayo,SG,BUST,1,0.15,Averaged 18.5 points per game as a rookie.,Started only 17 games in his third season.,Played one college season at USC.,2008-2016,Selected 3rd overall in the 2008 draft.,Finished 2nd in Rookie of the Year voting.,Had 4 games of 30+ points within his first 17 NBA games.
,Nik Stauskas,SG,BUST,1,0.15,Shot 81.2% from the free-throw line for his NBA career.,Averaged 6.7 points per game for his NBA career.,"Born in Mississauga, Ontario.","2014-2019, 2021-2022",Selected 8th overall in the 2014 draft.,Won Big Ten Player of the Year at Michigan.,"Scored 57 points, then 43 the next night, becoming the first G League player with 100+ in a back-to-back."
,Rashad McCants,SG,BUST,1,0.15,Shot 42.3% from three on UNC's 2005 title team.,His NBA career lasted only five seasons.,Played three college seasons at North Carolina.,2005-2009,Minnesota drafted him 14th overall in 2005.,Was a Final Four All-Tournament selection.,Won the 2005 NCAA championship with North Carolina.
,Dajuan Wagner,SG,BUST,1,0.15,Averaged 21.2 PPG in his lone Memphis season.,Played only three seasons with Cleveland.,Played one college season for John Calipari.,"2002-2005, 2006-2007",His father won both NCAA and NBA championships.,Cleveland drafted him 6th overall in 2002.,Scored 100 points in a high-school game.
,James Young,SG,BUST,1,0.15,Scored 20 points in the NCAA championship game.,Averaged 2.3 points per game in the NBA.,Shoots left-handed.,2014-2018,Selected 17th overall in the 2014 draft.,Made the NCAA Final Four All-Tournament Team as a freshman.,His NCAA title-game total of 20 points exceeded his NBA career high of 13.
,Xavier Henry,SG,BUST,1,0.15,Scored 27 points in an NBA game.,Averaged 0.6 assists per game for his career.,"Born in Ghent, Belgium.",2010-2015,Selected 12th overall in the 2010 draft.,Scored 31 points in a college game as a freshman.,"Scored 27 points in his very first college game, then a Kansas freshman-debut record."
,Terrence Williams,SG,BUST,1,0.15,Recorded 14 assists in an NBA game.,Played only 153 NBA games.,Played college basketball at Louisville.,2009-2013,Selected 11th overall in the 2009 draft.,Averaged 8.6 rebounds and 5.0 assists as a college senior.,"Recorded a 27-point, 13-rebound, 10-assist triple-double as a rookie."
,Jarrett Culver,SG,BUST,1,0.15,Scored 26 points in an NBA game.,Averaged 6.5 points per game for his NBA career.,Played college basketball at Texas Tech.,2019-2023,Selected 6th overall in the 2019 draft.,Won Big 12 Player of the Year.,Went from Big 12 Player of the Year to 50.9% career NBA free-throw shooting.
,Romeo Langford,SG,BUST,1,0.15,Scored 23 points in an NBA game.,Averaged 0.7 assists per game for his career.,Played college basketball at Indiana.,2019-2023,Selected 14th overall in the 2019 draft.,"Finished high school with more than 3,000 career points.","Scored 3,002 high-school points, 5th-most in Indiana history, then averaged 4.6 in the NBA."
,Zhaire Smith,SG,BUST,1,0.15,Scored 17 points in an NBA game as a rookie.,Played only 13 NBA games.,Played college basketball at Texas Tech.,2018-2020,Selected 16th overall in the 2018 draft.,Played only 6 games during his rookie season.,Lost more than 30 pounds after a severe allergic reaction and didn't debut until March of his rookie year.
,MarShon Brooks,SG,BUST,1,0.15,Started 47 games and averaged 12.6 points as a rookie.,Played only 200 NBA games.,Played college basketball at Providence.,"2011-2014, 2017-2019",Selected 25th overall in the 2011 draft.,Averaged 24.6 points per game as a college senior.,"Scored 52 points on 20-of-28 shooting, setting a Big East single-game scoring record."
,Kedrick Brown,SG,BUST,1,0.15,Recorded 10 rebounds in an NBA game.,Averaged 3.6 points per game for his career.,Played junior-college basketball before the NBA.,2001-2005,Selected 11th overall in the 2001 draft.,His NBA career high was only 18 points.,Was drafted 11th overall but finished with just 509 total NBA points in 143 games.
,Johnny Davis,SG,BUST,1,0.15,Had back-to-back 20-point NBA games as a rookie.,Averaged 3.5 points per game across his first 3 NBA seasons.,Played college basketball at Wisconsin.,2022-2025,Selected 10th overall in the 2022 draft.,Won Big Ten Player of the Year.,"Dropped 37 points and 14 rebounds against No. 3 Purdue, but his NBA career high was only 20."
,LeBron James,SF,HALL_OF_FAMER,5,0.05,Averaged 7.4 assists per game for his career.,Scored only 8 points and went scoreless in the 4th quarter of a Finals game.,Entered the NBA directly from high school.,2003-present,Won the NBA assists title in 2019-20.,Won 4 MVPs and 4 Finals MVPs.,"Became the first NBA player to reach 40,000 career points."
,Larry Bird,SF,HALL_OF_FAMER,5,0.05,Shot 49.6% from the field for his career.,Played only 6 games in the 1988-89 season.,Selected 6th overall in the 1978 draft.,1979-1992,Led the NBA in free-throw percentage 4 times.,Won 3 consecutive NBA MVP awards.,Won the first 3 NBA Three-Point Contests.
,Kevin Durant,SF,HALL_OF_FAMER,5,0.05,Shot 88.2% from the free-throw line for his career.,Shot 10-for-31 in a Game 6 with a chance to eliminate Golden State.,Listed at 6-foot-11.,"2007-2019, 2020-present",Became the youngest scoring champion in NBA history.,Won 4 NBA scoring titles.,Won back-to-back Finals MVPs with Golden State.
,Julius Erving,SF,HALL_OF_FAMER,5,0.05,Averaged 8.5 rebounds per game for his career.,Averaged 4.6 turnovers per game in 1972-73.,Played college basketball at UMass.,1971-1987,Won 3 ABA scoring titles.,Won 3 consecutive ABA MVP awards.,Won the ABA Slam Dunk Contest with a free-throw-line dunk.
,Scottie Pippen,SF,HALL_OF_FAMER,5,0.05,Averaged 5.2 assists per game for his career.,Refused to re-enter a playoff game for the final 1.8 seconds when the last shot wasn't drawn up for him.,Played 17 NBA seasons.,1987-2004,Made 10 NBA All-Defensive teams.,Won 6 NBA championships.,Won all 6 championships alongside Michael Jordan.
,Kawhi Leonard,SF,ALL_STAR,4,0.15,Averaged 1.7 steals per game for his career.,Missed the entire 2021-22 season.,Was mentioned in a Drake song.,"2011-2021, 2022-present",Selected 15th overall in the 2011 draft.,Won Defensive Player of the Year twice.,Hit the first Game 7 game-winning buzzer-beater in NBA playoff history.
,Paul Pierce,SF,ALL_STAR,4,0.15,Won the 2010 Three-Point Contest.,Never made an NBA All-Defensive team.,Played college basketball at Kansas.,1998-2017,Scored 41 in a Game 7 duel with LeBron.,"Left 2008 Finals Game 1 in a wheelchair, then returned.",Won 2008 Finals MVP.
,Carmelo Anthony,SF,ALL_STAR,4,0.15,Averaged 6.2 rebounds per game for his career.,His teams won only 3 of 16 playoff series.,Played one college season at Syracuse.,2003-2022,Selected 3rd overall in the 2003 draft.,Won the 2012-13 NBA scoring title.,Scored 62 points to set the Knicks single-game record.
,Dominique Wilkins,SF,ALL_STAR,4,0.15,Averaged 6.7 rebounds per game for his career.,Never reached an NBA conference final.,"Born in Paris, France.","1982-1995, 1996-1997, 1998-1999",Selected 3rd overall in the 1982 draft.,Made 9 All-Star teams and 7 All-NBA teams.,Won a scoring title and 2 Slam Dunk Contests.
,Paul George,SF,ALL_STAR,4,0.15,Averaged 6.2 rebounds per game for his career.,Played only 6 games in the 2014-15 season.,Played college basketball at Fresno State.,2010-present,Selected 10th overall in the 2010 draft.,Won Most Improved Player and made 4 All-Defensive teams.,Led the NBA in steals while averaging 28.0 points in 2018-19.
,Jimmy Butler,SF,ALL_STAR,4,0.15,Won Most Improved Player in 2015.,Averaged only 2.6 points as a rookie.,Played three college seasons at Marquette.,2011-present,Was the 30th pick in the 2011 draft.,Sold $20 cups of coffee inside the NBA bubble.,Posted 40/11/13 in a 2020 Finals win.
,Grant Hill,SF,ALL_STAR,4,0.15,Averaged 4.1 assists per game for his career.,Played only 47 games across his first 4 Orlando seasons.,Played college basketball at Duke.,"1994-2003, 2004-2013",Selected 3rd overall in the 1994 draft.,Won Co-Rookie of the Year and made 7 All-Star teams.,Led the NBA with 13 triple-doubles in 1996-97.
,Chris Mullin,SF,ALL_STAR,4,0.15,Shot 50.9% from the field for his career.,Played only 46 games in the 1992-93 season.,Shoots left-handed.,1985-2001,Selected 7th overall in the 1985 draft.,Made 5 All-Star teams and 4 All-NBA teams.,Made All-NBA First Team before joining the 1992 Dream Team.
,Bernard King,SF,ALL_STAR,4,0.15,Shot 51.8% from the field for his career.,Missed all of 1985-86 and played only 6 games the next season.,"Born in Brooklyn, New York.","1977-1985, 1986-1991, 1993",Selected 7th overall in the 1977 draft.,Won the 1984-85 scoring title at 32.9 points per game.,Scored 60 points on Christmas Day in 1984.
,Alex English,SF,ALL_STAR,4,0.15,Averaged 5.5 rebounds per game for his career.,Averaged only 5.2 points per game as a rookie.,Selected 23rd overall in the 1976 draft.,1976-1991,Made 8 consecutive NBA All-Star teams.,Won the 1982-83 NBA scoring title.,Scored more points than any NBA player during the 1980s.
,Andre Iguodala,SF,SOLID,3,0.35,Recorded 16 assists in a regular-season game.,Shot 70.9% from the free-throw line for his career.,Played college basketball at Arizona.,2004-2023,His first regular-season appearance off the bench came in career game No. 759.,Made 1 All-Star team and 2 All-Defensive teams.,Won Finals MVP without starting a single regular-season game that season.
,Rudy Gay,SF,SOLID,3,0.35,Averaged 21.1 points per game in 2014-15.,A torn Achilles ended one of his seasons in January.,Played 2 seasons at UConn.,2006-2023,Won FIBA World Cup gold twice with Team USA.,"Was drafted 8th by Houston, then traded to Memphis for Shane Battier before ever playing for the Rockets.","Played 1,120 regular-season games but only 19 playoff games."
,Tayshaun Prince,SF,SOLID,3,0.35,"Played at least 75 games in 7 of his first 9 seasons, including six 82-game seasons.",Averaged only 3.3 points per game as a rookie.,Shoots left-handed.,2002-2016,Was a four-time All-Defensive selection.,Reached the Conference Finals in each of his first 6 NBA seasons.,Chased down Reggie Miller for a game-saving block late in Game 2 of the 2004 Eastern Conference Finals.
,Shane Battier,SF,SOLID,3,0.35,Was a two-time First-Team Academic All-American in college.,Averaged 8.6 points per game for his NBA career.,"Was born in Birmingham, Michigan.",2001-2014,Won National Player of the Year and Final Four MOP while leading Duke to the 2001 NCAA title.,Duke retired his No. 31 during his senior season.,Hit 6 three-pointers in Game 7 of the 2013 NBA Finals.
,Richard Jefferson,SF,SOLID,3,0.35,Played 17 NBA seasons.,Went 12 seasons and 56 playoff games between NBA Finals appearances.,Was born in Los Angeles but attended high school in Phoenix.,2001-2018,Reached the NBA Finals in each of his first 2 seasons.,Was drafted 13th by Houston and immediately traded to New Jersey.,Won his first championship in his 15th NBA season with Cleveland in 2016.
,Trevor Ariza,SF,SOLID,3,0.35,Was part of 4 teams that reached the Conference Finals before turning 34.,Shot 73.1% from the free-throw line for his career.,Played 1 college season at UCLA.,2004-2022,Entered the NBA as the 43rd overall pick.,Shot 47.6% from three during the Lakers' 2009 championship run.,Stole late inbound passes in both Game 1 and Game 3 of the 2009 Western Conference Finals.
,Luol Deng,SF,SOLID,3,0.35,Averaged double-digit points in each of his first 12 NBA seasons.,"Played 13 minutes in the 2017-18 opener, then was held out for the remaining 81 games.","Was born in Wau, South Sudan.",2004-2019,Led the NBA in minutes per game in consecutive seasons.,Made consecutive All-Star teams and one All-Defensive team.,Signed with Chicago one final time specifically to retire as a Bull.
,Hedo Türkoğlu,SF,SOLID,3,0.35,Shot 38.4% from three over a 15-year NBA career.,Averaged only 5.3 points per game as a rookie.,"Was born in Istanbul, Turkey.",2000-2015,Won Most Improved Player in 2007-08.,Helped Orlando reach the 2009 NBA Finals.,"Put up 25 points, 12 assists and 4 threes in a road Game 7 win over defending champion Boston."
,Danilo Gallinari,SF,SOLID,3,0.35,Shot 87.6% from the free-throw line for his NBA career.,Shot 42.8% from the field for his career.,Was born in Italy.,"2008-2013, 2014-2022, 2023-2024",Started all 71 games he played for a Denver team that won 57 games.,Tore his ACL before Denver's 2013 playoff run and missed the next season.,"Scored 40 points, then topped it with 47 points less than three weeks later in 2015."
,Nicolas Batum,SF,SOLID,3,0.35,Recorded 9 NBA triple-doubles.,Averaged only 5.4 points per game as a rookie.,Played professionally in France for 3 seasons before entering the NBA.,2008-present,"Recorded his 3,000th NBA assist in 2021.",Was named MVP of the 2006 European U18 Championship.,Made a buzzer-beating defensive stop against Slovenia that sent France to the Olympic gold-medal game.
,Harrison Barnes,SF,SOLID,3,0.35,Played all 82 games during the 2014-15 season.,Averaged 9.5 points per game in his second NBA season.,Played 2 seasons at North Carolina.,2012-present,Made the All-Rookie First Team.,"Scored 84 points in one NCAA Tournament, a UNC freshman record.","Learned he had been traded to Sacramento while sitting on Dallas' bench during a game, then remained on the bench supporting his teammates."
,Tobias Harris,SF,SOLID,3,0.35,Has shot 83.8% from the free-throw line for his career.,Did not make his first playoff appearance until 2016.,Played 1 college season at Tennessee.,2011-present,Is a cousin of former NBA player Channing Frye.,A midseason trade took him from 4.9 PPG with Milwaukee to 17.3 PPG with Orlando.,The 2019 deal that sent him to Philadelphia was already his 7th career trade.
,Mike Miller,SF,SOLID,3,0.35,Shot 40.7% from three for his NBA career.,Averaged only 1.3 points per game in his 16th season.,Was born in South Dakota.,2000-2017,Won Rookie of the Year in 2000-01.,"Five seasons later, won Sixth Man of the Year.",Hit a three-pointer in the 2013 NBA Finals while wearing only one shoe.
,Corey Maggette,SF,SOLID,3,0.35,Averaged 22.2 points per game in his best NBA season.,Shot 32.4% from three for his career.,Played college basketball at Duke.,1999-2013,Made 563 free throws in a single season.,Scored a career-high 39 points in an NBA game.,"Played 827 regular-season games but only 12 playoff games, all during one postseason."
,Stephen Jackson,SF,SOLID,3,0.35,Recorded 15 assists in an NBA game.,Shot 41.4% from the field for his career.,Was drafted in 1997 but did not make his NBA debut until 2000.,2000-2014,Won an NBA championship with San Antonio in 2003.,Scored a career-high 43 points.,Scored 33 points in the clinching game as the No. 8 seed Warriors eliminated a 67-win Dallas team in 2007.
,Bruce Bowen,SF,SOLID,3,0.35,Shot 39.3% from three for his career.,Shot only 57.5% from the free-throw line for his career.,Played professionally in France and the CBA before getting an NBA opportunity.,1997-2009,Started 500 consecutive games for San Antonio.,Made an All-Defensive team 8 consecutive seasons.,San Antonio retired his No. 12 even though he never averaged more than 8.2 PPG in a season.
,Toni Kukoč,SF,SOLID,3,0.35,Averaged 3.7 assists per game for his NBA career despite standing 6-foot-10.,Shot 72.9% from the free-throw line for his career.,Was drafted in 1990 but did not make his NBA debut until 1993.,1993-2006,Won Sixth Man of the Year in 1995-96.,"Before entering the NBA, won 3 straight European championships and 3 straight Final Four MVPs.",Hit the playoff game-winner in 1994 on the play Scottie Pippen refused to re-enter the game for because it was drawn up for Kukoč.
,Jalen Rose,SF,SOLID,3,0.35,Recorded 20 assists in an NBA game.,Never made an NBA All-Star team.,Shoots left-handed.,1994-2007,Won Most Improved Player in 1999-00.,Was a member of Michigan's famous Fab Five.,Scored 30 points in Game 2 of the 2000 NBA Finals.
,Mikal Bridges,SF,SOLID,3,0.35,Did not miss an NBA game over his first 6 seasons.,Once scored just 2 points despite playing nearly 42 minutes in a win.,Redshirted his first year at Villanova.,2018-present,Played 83 regular-season games in 2022-23.,"Was drafted by his hometown 76ers while his mother worked for the organization, then was traded that same night.","Won the 2026 NBA championship alongside former Villanova teammates Jalen Brunson and Josh Hart, making them the first trio of teammates to share both an NCAA and NBA title."
,OG Anunoby,SF,SOLID,3,0.35,Has shot 37.7% from three over his NBA career.,Missed an entire championship playoff run after undergoing an emergency appendectomy just before the postseason.,"Was born in London, England.",2017-present,Led the NBA in steals in 2022-23.,Made All-Defensive Second Team in 2023 and 2026.,Hit a game-winning three with 0.5 seconds remaining to save Toronto from a 3-0 playoff deficit against Boston.
,Matt Barnes,SF,BENCH,2,0.3,Won an NBA championship in his final season.,Shot 33.5% from three for his career.,Played college basketball at UCLA.,2004-2017,Was drafted 46th overall in 2002 but did not make his NBA debut until January 2004.,Helped the No. 8 seed Warriors eliminate a 67-win Dallas team in the 2007 playoffs.,Was the player who faked an inbound pass directly at Kobe Bryant's face in the famous no-flinch moment.
,Jared Dudley,SF,BENCH,2,0.3,Played all 82 games in consecutive seasons.,Shot 22.0% from three as a rookie.,Played all four college seasons at Boston College.,2007-2021,Made 120 threes at a 45.8% clip in 2009-10 despite starting only 1 game.,Won the 2020 NBA championship with the Lakers.,Was named ACC Player of the Year at Boston College in 2007.
,James Jones,SF,BENCH,2,0.3,"Shot 44.4% from three in 2007-08, 3rd-best in the NBA.",Averaged only 5.2 points per game for his career.,Earned a finance degree after playing four college seasons at Miami.,2003-2017,Won the 2011 Three-Point Contest.,Reached the NBA Finals in each of his final 7 seasons.,Won 3 NBA championships and never played on a team that finished a season with a losing record.
,Corey Brewer,SF,BENCH,2,0.3,Won an NBA championship in 2011.,Shot 28.4% from three for his NBA career.,Played college basketball at Florida.,2007-2020,Won back-to-back NCAA championships.,Was named the 2007 Final Four Most Outstanding Player.,Randomly erupted for 51 points and 6 steals in a game despite never previously scoring 30 in the NBA.
,Dorell Wright,SF,BENCH,2,0.3,Shot 80.6% from the free-throw line for his career.,Played only 3 games as a rookie.,Entered the NBA directly from high school.,2004-2016,Won an NBA championship with Miami in 2006.,His seventh NBA season produced more points than his first six seasons combined.,Led the entire NBA with 194 made threes in 2010-11.
,Wesley Johnson,SF,BENCH,2,0.3,Started 63 games as a rookie.,Shot 40.4% from the field for his career.,Transferred from Iowa State to Syracuse and had to sit out a season before playing there.,2010-2019,Made the NBA All-Rookie Second Team.,Won Big East Player of the Year and earned consensus All-American honors in his only season at Syracuse.,"Was the defender in James Harden's famous 2018 crossover, pause, stare-down three that became one of the NBA's biggest viral clips."
,Chase Budinger,SF,BENCH,2,0.3,Shot 40.2% from three in 2011-12.,Played only 23 games the following season.,Played college basketball at Arizona.,2009-2016,Was drafted 44th overall and traded to Houston on draft night.,"After 7 NBA seasons, eventually left basketball and became a professional beach-volleyball player.",Represented the United States in beach volleyball at the 2024 Paris Olympics.
,Maurice Harkless,SF,BENCH,2,0.3,Started 59 games as a rookie.,"By his third season, appeared in only 45 games and started 4.",Played one college season at St. John's.,2012-2022,Was drafted 15th by Philadelphia but traded to Orlando before playing an NBA game.,Orlando later traded him to Portland for only a protected future second-round pick.,"Entered the final game of 2016-17 shooting 35.1% from three with a $500,000 bonus requiring 35%, then did not attempt a three and secured the bonus."
,Gerald Green,SF,BENCH,2,0.3,Averaged 15.8 points while shooting 40.0% from three in 2013-14.,Played only 1 NBA game in the 2007-08 season.,Entered the NBA directly from high school.,"2005-2009, 2011-2019",Spent two full seasons playing in Russia before returning to the NBA.,Won the 2007 NBA Slam Dunk Contest.,Played his entire NBA career with only four fingers on his right hand following a childhood accident.
,Mickaël Piétrus,SF,BENCH,2,0.3,Averaged 10.5 points per game across 24 playoff games in 2009.,Shot 66.5% from the free-throw line for his career.,Was born in Guadeloupe.,2003-2013,Was selected 11th overall in the 2003 draft.,Was a major reserve during Orlando's run through the 2009 playoffs.,"Was known throughout his NBA career by the nickname ""Air France."""
,Carlos Delfino,SF,BENCH,2,0.3,Averaged 10.6 points per game in his final NBA season.,Shot 40.1% from the field for his career.,"Was born in Santa Fe, Argentina.","2004-2008, 2009-2013",His final NBA playoff run ended with a foot fracture that required surgery.,Appeared for Argentina in the 2004 Olympic semifinal against the United States and the gold-medal final against Italy.,Threw down a memorable fast-break dunk over Kevin Durant in Game 4 of the 2013 playoffs.
,Martell Webster,SF,BENCH,2,0.3,Shot 42.2% from three during his career-best scoring season.,Played only 5 total minutes in the entire 2008-09 season.,Entered the NBA directly from Seattle Prep.,2005-2015,Was selected 6th overall in the 2005 draft.,Scored a career-high 34 points while making 7 threes in a game in 2013.,Is the cousin of longtime NBA guard Jason Terry.
,Linas Kleiza,SF,BENCH,2,0.3,Played all 82 games in 2008-09.,Shot 33.5% from three for his NBA career.,Was born in Lithuania and played college basketball at Missouri.,"2005-2009, 2010-2013",Finished 11th in Sixth Man of the Year voting in 2007-08.,"Left the NBA for a season to play for Olympiacos in Greece, then returned with Toronto.",Scored 41 points and grabbed 9 rebounds in a 2008 game alongside Allen Iverson and Carmelo Anthony.
